"bldg_id","in.sqft","in.bedrooms","in.geometry_stories","in.hvac_cooling_type","in.hvac_heating_type","in.hvac_heating_efficiency","in.hvac_cooling_efficiency","in.hvac_has_ducts","in.county","in.occupants"
343698,2176,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
365995,1690,3,2,"Central AC","Ducted Heating","Fuel Furnace, 92.5% AFUE","AC, SEER 10","Yes","G4500410","3"
369426,1220,2,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","1"
375112,885,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","1"
381495,1690,3,1,"Room AC","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","Room AC, EER 10.7","No","G4500410","1"
383017,1220,2,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 15, 8.5 HSPF","Heat Pump","Yes","G4500410","2"
383377,2663,4,1,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 10","Yes","G4500410","2"
383764,1690,5,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","3"
384955,2663,3,2,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 15","Yes","G4500410","2"
386392,1690,3,2,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 10","Yes","G4500410","2"
391155,1220,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","2"
391876,2663,4,2,"Room AC","Non-Ducted Heating","Fuel Wall/Floor Furnace, 60% AFUE","Room AC, EER 9.8","No","G4500410","2"
394268,3301,5,1,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 10","Yes","G4500410","4"
395539,1220,2,1,"None","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","None","No","G4500410","2"
396552,1690,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","4"
397041,1220,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","3"
406462,1220,3,2,"Central AC","Ducted Heating","Fuel Furnace, 92.5% AFUE","AC, SEER 10","Yes","G4500410","2"
408767,2176,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","5"
410046,1690,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
410286,885,2,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","1"
418466,1690,3,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","2"
424459,3301,5,2,"Central AC","Ducted Heating","Fuel Furnace, 92.5% AFUE","AC, SEER 13","Yes","G4500410","8"
428649,1220,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","4"
430952,1690,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","1"
433720,1220,2,1,"Room AC","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","Room AC, EER 8.5","No","G4500410","3"
440028,1690,5,2,"Room AC","Non-Ducted Heating","Fuel Wall/Floor Furnace, 60% AFUE","Room AC, EER 9.8","No","G4500410","1"
452709,885,3,2,"Room AC","Non-Ducted Heating","Fuel Wall/Floor Furnace, 68% AFUE","Room AC, EER 10.7","No","G4500410","2"
452874,1690,2,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","3"
465087,1220,3,2,"None","Non-Ducted Heating","Electric Wall Furnace, 100% AFUE","None","No","G4500410","2"
468606,2176,3,1,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 13","Yes","G4500410","2"
474370,1690,3,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","1"
479308,2663,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","1"
484158,1690,3,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","5"
488704,2176,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","2"
488737,1690,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","3"
491715,633,2,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
493685,1690,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","4"
495647,3301,5,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","6"
496895,2176,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","2"
497012,8194,4,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","4"
497756,328,1,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
502973,1220,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
504071,1220,3,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","3"
508084,1690,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","2"
508483,2176,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","2"
508543,1690,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","2"
511417,1690,3,2,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 10","Yes","G4500410","1"
515939,1220,4,1,"Room AC","Ducted Heating","Electric Furnace, 100% AFUE","Room AC, EER 9.8","Yes","G4500410","1"
521458,2663,4,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","2"
522373,2176,3,1,"Central AC","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","AC, SEER 13","Yes","G4500410","1"
527184,3301,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","4"
533494,1220,3,1,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","2"
535040,633,2,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","1"
537352,2176,3,2,"Heat Pump","Ducted Heat Pump","ASHP, SEER 13, 7.7 HSPF","Heat Pump","Yes","G4500410","3"
538184,1690,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 13","Yes","G4500410","5"
540635,1690,3,2,"Room AC","Non-Ducted Heating","Electric Baseboard, 100% Efficiency","Room AC, EER 10.7","No","G4500410","2"
545807,2176,4,1,"Central AC","Ducted Heating","Electric Furnace, 100% AFUE","AC, SEER 15","Yes","G4500410","5"
547865,2663,5,2,"Central AC","Ducted Heating","Fuel Furnace, 80% AFUE","AC, SEER 13","Yes","G4500410","3"
